Configuration,Phase,Epoch,Loss,Accuracy
MobileNetV3_small,train,1,0.6466405354958994,0.7917777777777778
MobileNetV3_small,val,1,0.6304179361661275,0.7725
MobileNetV3_small,train,2,0.46862624416527926,0.8341481481481482
MobileNetV3_small,val,2,0.42627512152989705,0.8531666666666666
MobileNetV3_small,train,3,0.444050155710291,0.8412222222222222
MobileNetV3_small,val,3,0.40958761485417683,0.8556666666666667
MobileNetV3_small,train,4,0.43435358402464125,0.8419629629629629
MobileNetV3_small,val,4,0.4082339514096578,0.8536666666666667
MobileNetV3_small,train,5,0.42640875094908254,0.8464444444444444
MobileNetV3_small,val,5,0.38232386350631714,0.8663333333333333
MobileNetV3_small,train,6,0.4262047835632607,0.8454814814814815
MobileNetV3_small,val,6,0.38663082734743753,0.863
MobileNetV3_small,train,7,0.4195677199716921,0.8481481481481481
MobileNetV3_small,val,7,0.3912306632200877,0.862
MobileNetV3_small,train,8,0.4176200032852314,0.8483333333333334
MobileNetV3_small,val,8,0.3872592140833537,0.8621666666666666
MobileNetV3_small,train,9,0.41627191488831133,0.8491296296296297
MobileNetV3_small,val,9,0.3789778378804525,0.8691666666666666
MobileNetV3_small,train,10,0.41534468238442035,0.8493518518518518
MobileNetV3_small,val,10,0.3727325692176819,0.866
MobileNetV3_small,train,11,0.4066705475648244,0.8520555555555556
MobileNetV3_small,val,11,0.3825299691359202,0.861
MobileNetV3_small,train,12,0.40604873126524466,0.8521851851851852
MobileNetV3_small,val,12,0.3910961079597473,0.8558333333333333
MobileNetV3_small,train,13,0.4082769173957683,0.85
MobileNetV3_small,val,13,0.3849546429316203,0.8606666666666667
MobileNetV3_small,train,14,0.40875899434089663,0.8522037037037037
MobileNetV3_small,val,14,0.3822909670670827,0.8591666666666666
MobileNetV3_small,train,15,0.4086351886766928,0.8513148148148149
MobileNetV3_small,val,15,0.3805195604165395,0.8588333333333333
MobileNetV3_small,train,16,0.40211037083908363,0.8537037037037037
MobileNetV3_small,val,16,0.3822405094305674,0.8611666666666666
MobileNetV3_small,train,17,0.4012160701398496,0.8550925925925926
MobileNetV3_small,val,17,0.38568181467056273,0.8605
MobileNetV3_small,train,18,0.4045768063598209,0.8538888888888889
MobileNetV3_small,val,18,0.3882822318871816,0.8546666666666667
MobileNetV3_small,train,19,0.4057181855042776,0.851462962962963
MobileNetV3_small,val,19,0.394657435576121,0.8538333333333333
MobileNetV3_small,train,20,0.402980737624345,0.8537407407407407
MobileNetV3_small,val,20,0.3845628372033437,0.859
MobileNetV3_small,train,21,0.40101544298066033,0.8542222222222222
MobileNetV3_small,val,21,0.37309526578585306,0.865
MobileNetV3_small,train,22,0.3989452212121752,0.8541111111111112
MobileNetV3_small,val,22,0.37809368133544924,0.8605
MobileNetV3_small,train,23,0.396227671428963,0.8552777777777778
MobileNetV3_small,val,23,0.3818862354755402,0.8615
MobileNetV3_small,train,24,0.39918806922877276,0.8543888888888889
MobileNetV3_small,val,24,0.3755356160799662,0.8573333333333333
MobileNetV3_small,train,25,0.3966421790741108,0.8553888888888889
MobileNetV3_small,val,25,0.3780677596728007,0.8603333333333333
MobileNetV3_small,train,26,0.39771518888296903,0.8538518518518519
MobileNetV3_small,val,26,0.37194346062342326,0.8638333333333333
MobileNetV3_small,train,27,0.39758431044331305,0.8555555555555555
MobileNetV3_small,val,27,0.3732327895959218,0.8623333333333333
MobileNetV3_small,train,28,0.397116295505453,0.8548518518518519
MobileNetV3_small,val,28,0.38619285702705386,0.86
MobileNetV3_small,train,29,0.3976279367959058,0.8536296296296296
MobileNetV3_small,val,29,0.38297465761502586,0.8606666666666667
MobileNetV3_small,train,30,0.39948615601327686,0.8540555555555556
MobileNetV3_small,val,30,0.371699062983195,0.8621666666666666
